Babin Holendry,52,20,17,52
Babin,51,10,22,21
Babin,51,20,21,43
Babin,52,20,17,53
Babino,53,10,22,55
Babki Gąseckie,53,55,22,30
Babki,52,19,16,56
Babki,54,14,22,28
Babki,54,16,19,03
Babki Oleckie,54,05,22,30
Babkowice,51,47,17,09
Bablin,52,41,16,43
Baborowo,52,35,16,39
Baborówko,52,35,16,38
Baborów,50,10,18,00
Baboszewo,52,41,20,16
Babrosty,53,38,21,53
Babskie Budy,52,06,20,16
Babsk,51,50,20,21
Babule,50,24,21,32
Baby,50,58,19,19
Baby,51,32,19,43
Baby,52,18,19,03
Baby,52,49,20,36
Baby Nowe,52,18,19,04
Baby Stare,52,18,19,03
Bachanowo,54,15,22,48
Bacharowice,49,56,19,35
Bachlowa,49,26,22,21
Bachmatówka,53,24,23,24
Bachory,50,07,22,55
Bachorza,52,44,18,38
Bachorza,53,58,21,36
Bachorzew,52,00,17,33
Bachorzyn,51,30,19,11
Bachotek,53,19,19,28
Bachowice,49,58,19,30
Bachórce,52,40,18,25
Bachórzec,49,50,22,20
Bachórz,49,50,22,17
Bachów,49,48,22,30
Bachury,52,58,23,47
Bachus,51,19,23,24
Bacieczki,53,09,23,06
Baciki Bliższe,52,27,22,55
Baciki Dalsze,52,28,22,55
Baciki Średnie,52,27,22,54
Baciuty,53,04,22,58
Bacze,52,56,20,43
Bacze Mokre,53,02,22,08
Bacze Suche,53,05,22,07
Baczki Fabryczne,52,32,21,44
Baczki,52,22,22,27
Baczki,52,32,21,47
Baczki Nowe,52,32,21,46
Baczki Stare,52,32,21,48
Baczków,50,02,20,27
Baczków,51,53,21,55
Baczyna,51,14,20,32
Baczyna,52,45,15,06
Baczyn,49,48,19,44
Baćkowice,50,48,21,14
Badów Górny,51,57,20,32
Badrzychowice,50,21,20,47
Bagicz,54,12,15,42
Bagienica,53,28,17,47
Bagienice Duże,53,09,20,01
Bagienice Folwark,53,04,21,11
Bagienice Małe,53,09,20,02
Bagienice Małe,53,52,21,15
Bagienice,53,04,21,12
Bagienice,53,22,22,15
Bagienice,53,32,22,24
Bagienice,53,51,21,14
Bagienice Nowe,53,09,19,59
Bagienice Szlacheckie,53,03,21,12
Bagienice Wielkie,53,16,20,52
Bagieńskie,53,30,22,08
Bagieńskie,53,34,21,59
Bagińskie,52,50,22,57
Bagińskie Nowe,52,50,22,57
Bagińskie Stare,52,50,22,57
Bagna,50,53,18,43
Bagniewko,53,21,18,15
Bagniewo,53,22,18,15
Bagnity,53,51,19,45
Bagno,50,37,18,54
Bagno,50,38,22,58
Bagno,51,18,19,42
Bagno,51,20,16,49
Bagno,52,04,18,16
Bagno,53,03,17,51
Bagno,53,27,22,56
Bagnówka,53,09,23,13
Bagny,53,38,23,14
Bajdy,49,46,21,40
Bajerowka,50,02,18,41
Bajki,53,18,22,45
Bajki Stare,53,18,22,44
Bajki-Zalesie,53,18,22,45
Bajory Małe,54,18,21,32
Bajory Wielkie,54,19,21,31
Bajtkowo,53,45,22,16
Bakaniuk,54,02,22,51
Bakończyce,49,47,22,49
Bakuła,53,13,21,16
Balbinów,50,49,21,30
Balcerów,51,55,20,09
Balcery,52,25,21,30
Balczewo,52,47,18,22
Baldram,53,46,18,57
Bale,52,15,22,08
Balewko,53,53,19,15
Balewo,53,52,19,15
Balewo,54,04,19,25
Balice,50,05,19,48
Balice,50,32,20,50
Baligród,49,20,22,17
Baliki,53,16,21,54
Balin Duży,50,10,19,23
Balinka,53,47,23,10
Balin Mały,50,09,19,22
Balin,50,11,19,23
Balin,51,56,18,49
Balin,53,03,19,23
Balków,52,05,19,24
Balnica,49,13,22,12
Bałaje,50,12,23,09
Bałamutowo,53,54,22,15
Bałąg,53,50,20,14
Bałdoń,51,40,18,10
Bałdowice,51,19,17,47
Bałdowo,52,48,19,17
Bałdowo,54,04,18,48
Bałdrzychowska Góra,51,51,18,59
Bałdrzychów,51,52,18,55
Bałdzki Piec,53,37,20,39
Bałków,50,44,19,55
Bałoszyce,53,41,19,17
Bałtów,51,01,21,33
Bałtów,51,30,22,02
Bałucianka,49,32,21,48
Bałucz,51,38,19,04
Bałupiany,54,20,22,15
Bałuty,51,48,19,28
Banachowizna,52,22,21,23
Banachy,50,22,23,15
Banachy,50,30,22,33
Bandrów Kolonia,49,23,22,44
Bandrów Narodowy,49,24,22,42
Bandysie,53,19,21,13
Bania,50,42,22,10
Banica,49,28,21,04
Banica,49,33,21,19
Banie,53,06,14,39
Banino,54,24,18,25
Baniocha,52,01,21,10
Baniów,51,34,19,40
Banowice,49,51,20,01
